Sensor,Time,Value
OPD_01,0.04,16.73
OPD_01,1.46,15.15
OPD_01,2.84,13.44
OPD_01,4.25,13.68
OPD_01,5.6,13.32
OPD_01,6.95,15.03
OPD_01,8.29,14.17
OPD_01,9.68,14.05
OPD_01,11.27,14.66
OPD_01,12.61,14.9
OPD_01,13.95,13.56
OPD_01,16.24,23.2
OPD_01,17.58,23.2
OPD_01,18.93,21.98
OPD_01,20.33,24.18
OPD_01,21.67,23.81
OPD_01,23.02,22.72
OPD_01,24.37,21.25
OPD_01,25.76,19.79
OPD_01,27.11,27.84
OPD_01,28.42,23.94
OPD_01,29.76,23.57
OPD_01,32.32,82.77
OPD_02,0.04,863.02
OPD_02,1.46,849.47
OPD_02,2.84,845.93
OPD_02,4.25,850.45
OPD_02,5.6,850.2
OPD_02,6.95,850.45
OPD_02,8.29,846.05
OPD_02,9.68,850.57
OPD_02,11.27,850.45
OPD_02,12.61,848.74
OPD_02,13.95,844.96
OPD_02,16.24,874.62
OPD_02,17.58,873.52
OPD_02,18.93,871.81
OPD_02,20.33,870.96
OPD_02,21.67,869.37
OPD_02,23.02,869.61
OPD_02,24.37,864.61
OPD_02,25.76,868.64
OPD_02,27.11,869.49
OPD_02,28.42,868.64
OPD_02,29.76,864.98
OPD_02,32.32,895.74
EPD_01,0.04,9.69
EPD_01,1.46,9.87
EPD_01,2.84,10.12
EPD_01,4.25,10.06
EPD_01,5.6,9.63
EPD_01,6.95,9.75
EPD_01,8.29,9.57
EPD_01,9.68,10.0
EPD_01,11.27,10.18
EPD_01,12.61,9.93
EPD_01,13.95,9.57
EPD_01,16.24,11.34
EPD_01,17.58,11.46
EPD_01,18.93,10.91
EPD_01,20.33,11.95
EPD_01,21.67,11.52
EPD_01,23.02,11.83
EPD_01,24.37,11.4
EPD_01,25.76,11.64
EPD_01,27.11,11.22
EPD_01,28.42,10.97
EPD_01,29.76,11.15
EPD_01,32.32,34.41
FPD_01,0.04,16.14
FPD_01,1.46,15.29
FPD_01,2.84,13.45
FPD_01,4.25,14.55
FPD_01,5.6,14.68
FPD_01,6.95,15.04
FPD_01,8.29,13.21
FPD_01,9.68,14.55
FPD_01,11.27,14.92
FPD_01,12.61,14.8
FPD_01,13.95,14.19
FPD_01,16.24,318.26
FPD_01,17.58,464.26
FPD_01,18.93,467.07
FPD_01,20.33,466.7
FPD_01,21.67,467.07
FPD_01,23.02,467.19
FPD_01,24.37,464.75
FPD_01,25.76,470.24
FPD_01,27.11,467.07
FPD_01,28.42,471.22
FPD_01,29.76,464.75
FPD_01,32.32,547.88
FPD_02,0.04,-31.2
FPD_02,1.46,-31.51
FPD_02,2.84,-31.63
FPD_02,4.25,-31.45
FPD_02,5.6,-31.02
FPD_02,6.95,-31.2
FPD_02,8.29,-31.33
FPD_02,9.68,-31.2
FPD_02,11.27,-31.39
FPD_02,12.61,-31.14
FPD_02,13.95,-31.26
FPD_02,16.24,-29.19
FPD_02,17.58,-28.09
FPD_02,18.93,-28.27
FPD_02,20.33,-28.15
FPD_02,21.67,-28.27
FPD_02,23.02,-28.03
FPD_02,24.37,-28.09
FPD_02,25.76,-28.27
FPD_02,27.11,-27.91
FPD_02,28.42,-28.09
FPD_02,29.76,-28.21
FPD_02,32.32,-22.9
THRUST,0.04,0.12
THRUST,1.46,0.13
THRUST,2.84,0.13
THRUST,4.25,0.13
THRUST,5.6,0.13
THRUST,6.95,0.12
THRUST,8.29,0.13
THRUST,9.68,0.12
THRUST,11.27,0.13
THRUST,12.61,0.12
THRUST,13.95,0.12
THRUST,16.24,0.13
THRUST,17.58,0.13
THRUST,18.93,0.12
THRUST,20.33,0.12
THRUST,21.67,0.12
THRUST,23.02,0.11
THRUST,24.37,0.12
THRUST,25.76,0.12
THRUST,27.11,0.12
THRUST,28.42,0.13
THRUST,29.76,0.13
THRUST,32.32,0.12
